Number,Episode,Season,Stars,total_votes,Summary,Title,original_air_date
1,1,1,7.7,4624,"An ex-lawyer is forced to return to community college to get a degree. However, he tries to use the skills he learned as a lawyer to get the answers to all his tests and pick up on a sexy woman in his Spanish class.",Pilot,9/17/2009
2,2,1,7.8,4034,"Jeff takes steps to ensure that Britta will be his partner in Spanish class, but winds up with Pierce instead.",Spanish 101,9/24/2009
3,3,1,8.2,3978,"Britta comes between Abed and his father when she signs him up for a film class, and Jeff risks failing a class unless he ""seizes the day.""",Introduction to Film,10/1/2009
4,4,1,8.1,3665,"Jeff and Shirley bond by making fun of Britta's new hippie boyfriend, which doesn't go well for any involved. Meanwhile, Troy and Abed become pawns in Annie's psychology experiment.",Social Psychology,10/8/2009
5,5,1,7.8,3506,"Señor Chang is on the hunt for a cheater and threatens to fail the entire class if the culprit doesn't come forward. When someone confesses, Jeff comes to their defense. Meanwhile, Annie recruits Pierce to write the new school song.",Advanced Criminal Law,10/15/2009
6,6,1,7.7,3446,"Jeff talks Troy into playing for the college's football team, sparking Annie's anger. Pierce helps the dean come up with a new mascot, and Britta tries to become Shirley's bathroom friend.","Football, Feminism and You",10/22/2009
7,7,1,8.7,4038,Will Jeff blow off Annie's Halloween party and sell out his other classmates in order to get a chance to score with a sexy professor?,Introduction to Statistics,10/29/2009
8,8,1,7.9,3376,"When Jeff loses his home and his car, he is forced to move into Abed's dorm room. Troy has a big date, but why is a jealous Annie trying to help? Meanwhile, Pierce becomes the keyboardist for Vaughn's band.",Home Economics,11/5/2009
9,9,1,8.8,4069,"Jeff reluctantly agrees to be Annie's debate partner, Britta humors Pierce by letting him try hypnotherapy on her to get her to stop smoking, and the gang begins to think that Abed's films may predict their future.",Debate 109,11/12/2009
10,10,1,8.2,3420,"Jeff hangs out with Senor Chang to get out of an essay, angering the rest of the group. Meanwhile, Abed and Troy search for their missing lab mouse, and Pierce helps Shirley out with a presentation.",Environmental Science,11/19/2009
11,11,1,7.8,3275,"Annie helps the dean put on an ""STD Fair,"" but doesn't want to perform an embarrassing demonstration. Meanwhile Jeff finds a companion for a double date with Pierce, and Troy finds out that Abed is a better athlete than him.",Politics of Human Sexuality,12/3/2009
12,12,1,8.4,3539,"Shirley throws a Christmas party for the gang and much to her surprise learns her classmates come from various religious backgrounds. Meanwhile, Jeff is challenged by the school bully and faces the reality that he may fail Spanish 101.",Comparative Religion,12/10/2009
13,13,1,8,3378,"The gang decides not to let an obnoxious student from their Spanish class into the study group. The dean appoints Jeff as editor of the student paper, where Annie is working on a story that could expose the dean as a racist.",Investigative Journalism,1/14/2010
14,14,1,7.9,3222,"Jeff runs in to problems when the study group and the dean discover that he's seeing a professor, while Troy and Britta discover each other's secret that they are both taking dance classes.",Interpretive Dance,1/21/2010
15,15,1,8,3227,"When Annie starts hanging out with Britta's ex-boyfriend Vaughn, Britta and Jeff vow to protect her. Meanwhile, Pierce feels left out at Troy and Abed's movie night.",Romantic Expressionism,2/4/2010
16,16,1,8.4,3352,"Jeff sets out to fix his relationship with Britta after things get awkward with a drunken phone call. Meanwhile, Annie and Shirley make plans to humiliate Señor Chang in order to defend Troy and Pierce's dignity.",Communication Studies,2/11/2010
17,17,1,9,4165,"Jeff refuses to participate in a pool class because the teacher forces him to play in gym shorts, and the study group discovers a white version of Abed at the college.",Physical Education,3/4/2010
18,18,1,8,3203,"It's Family Day at Greendale. Pierce tries to build a relationship with his stepdaughter, but she has eyes for Jeff instead. Britta gets in trouble with Troy's Nana, and Shirley's kids cause problems for Abed's father.",Basic Genealogy,3/11/2010
19,19,1,8.4,3391,"Jeff signs up for a pottery class for an easy credit, but winds up failing the class when his jealousy of another student gets the best of him. Meanwhile, Pierce's incompetence could ruin his group's grade in boating class.",Beginner Pottery,3/18/2010
20,20,1,8.4,3308,"Britta's April Fool's Day prank has disastrous consequences, but she refuses to confess that she was responsible. Annie and Shirley temporarily work as security guards, but both of them want to be the ""bad cop.""",The Science of Illusion,3/25/2010
21,21,1,9.3,5274,Jeff's plan to get chicken fingers from the school cafeteria for the study group quickly evolves into a mafia movie-style endeavor with Abed calling all the shots.,Contemporary American Poultry,4/22/2010
22,22,1,7.9,3370,"Shirley gets Pierce kicked out the study group, Jeff and Britta plot revenge on a group of high schoolers who make fun of them for attending community college, and Troy helps Abed accomplish some of his movie-clichéd social goals.",The Art of Discourse,4/29/2010
23,23,1,9.8,11482,"Greendale Community College is transformed into an apocalyptic war zone when the dean promises the winner of a paintball competition priority registration, and it could fan the flames of sexual tension between Jeff and Britta.",Modern Warfare,5/6/2010
24,24,1,8.2,3148,"Annie uses inside information about Señor Chang to get him fired so that the study group will be forced to stay together and take Spanish again. Meanwhile, Troy discovers that he has a natural skill for plumbing.",English as a Second Language,5/13/2010
25,25,1,8.5,3416,"Britta and Professor Slater fight for the affection of Jeff. Meanwhile, Troy is confused when Abed doesn't invite him to move into his dorm room.",Pascal's Triangle Revisited,5/20/2010
26,1,2,8.7,3593,"Jeff and Britta engage in a dangerous game of relationship one-upsmanship in response to Britta's embarrassing moment at the end of the previous school year, which could cause the entire study group to fall apart.",Anthropology 101,9/23/2010
27,2,2,8.2,3260,"Jeff blows off the study group and their break-dancing competition to hang out with his old co-workers at the law firm, but Annie tries to prove that one of them is the person who turned him in and got him fired.",Accounting for Lawyers,9/30/2010
28,3,2,8,3155,"Pierce's religion convinces him that the spirit of his dead mother is captured in a cheap lava lamp, Jeff has a crisis of faith when he learns he has high cholesterol, and Britta and Annie try to raise money for the oil spill.",The Psychology of Letting Go,10/7/2010
29,4,2,8.7,3757,"Everyone in the study group except Abed is stuck in a crude 1980s space simulator as it is towed off campus, and Abed leads the team given the difficult assignment of bringing them home.",Basic Rocket Science,10/14/2010
30,5,2,7.8,3530,"Shirley asks Abed to make a film about Jesus, but he quickly angers Shirley by turning it into a self-indulgent mess. Meanwhile, Pierce begins blowing off the study group to hang out with the ""hipsters.""",Messianic Myths and Ancient Peoples,10/21/2010
31,6,2,9.3,5249,The study group is left to fend for themselves by Dean Pelton during a rabies outbreak due to tainted food at Greendale's Halloween party.,Epidemiology,10/28/2010
32,7,2,8.4,3598,"Britta, Annie and Shirley discover that Abed is skilled at insulting the mean girls, so they use him to their advantage. Meanwhile, Troy and Jeff find a secret garden with a trampoline, which they use for relaxation.",Aerodynamics of Gender,11/4/2010
33,8,2,9.1,4407,"Chaos and mistrust tear the study group apart as they try to figure out who stole Annie's pen, causing them to miss the Greendale Puppy Parade.",Cooperative Calligraphy,11/11/2010
34,9,2,9.4,5378,"Dean Pelton tries to bust Jeff for a phony night school credit, which only unveils a series of conspiracies, plots, and double-crosses between Jeff, Annie, and the dean.",Conspiracy Theories and Interior Design,11/18/2010
35,10,2,8.4,3522,"The study group takes Troy out to a bar to celebrate his 21st birthday. While there, Annie assumes a new identity, Abed is propositioned by a man, one of Shirley's secrets is discovered, and Britta and Jeff fight over the ""cool"" bars.",Mixology Certification,12/2/2010
36,11,2,8.7,4739,"When Abed wakes up to discover that everything is in stop motion animation, Professor Duncan and the study group help him try to discover the true meaning of Christmas.",Abed's Uncontrollable Christmas,12/9/2010
37,12,2,8,3042,"Annie lobbies for her new crush, who is also Jeff's rival, to join the study group, but a jealous Jeff counters with Chang. Meanwhile, Shirley announces that she's pregnant, but she doesn't know that it could be Chang's.",Asian Population Studies,1/20/2011
38,13,2,7.9,3109,"Pierce bribes Annie into getting him a bigger role in her anti-drug play, Jeff gets in trouble when he sends a lewd text message from Britta's phone, and Shirley rejects Chang's attempts to be friendly to her.",Celebrity Pharmacology,1/27/2011
39,14,2,9.5,6050,"The study group plays Dungeons & Dragons with another classmate to improve his spirits, but Pierce's jealousies cause their good intentions to backfire.",Advanced Dungeons & Dragons,2/3/2011
40,15,2,8,3114,"Jeff hangs out with Professor Duncan after a fight with the study group, but Chang tags along and starts a party. Meanwhile, Abed and Troy fight for a librarian's affection, and Britta goes to a dance with a girl she thinks is a lesbian.",Early 21st Century Romanticism,2/10/2011
41,16,2,8.8,3597,"Pierce pretends to be dying so that he can bequeath a series of cryptic and sometimes mean-spirited gifts to his study partners, and Abed decides to shoot a documentary film of the situation.",Intermediate Documentary Filmmaking,2/17/2011
42,17,2,8.2,3200,"Anticipating a visit from the vice president, dean Pelton holds an election for student body president. An idealistic Annie decides to run, but Jeff decides to run against her to spite her and show how stupid politics can be.",Intro to Political Science,2/24/2011
43,18,2,7.4,2985,"Jeff uses Shirley's parental rights waiver against Chang as a way to get Chang out of the apartment, while Britta is afraid to tell Abed and Troy that their new friend is a war criminal.",Custody Law and Eastern European Diplomacy,3/17/2011
44,19,2,9,4202,"Jeff's ""Pulp Fiction""-themed surprise party for Abed is spoiled when Abed tells him over dinner that he's done with pop culture.",Critical Film Studies,3/24/2011
45,20,2,7.5,2941,Jeff suspects something isn't quite right when an attractive classmate gets engaged to marry Pierce .,Competitive Wine Tasting,4/14/2011
46,21,2,9.1,4198,"While working on the final diorama for their anthropology class, Chang discovers the cache of items stolen by Troy's monkey.",Paradigms of Human Memory,4/21/2011
47,22,2,8,2960,"As the semester draws to a close, the anthropology class final is disrupted when Shirley goes into labor one month ahead of schedule.",Applied Anthropology and Culinary Arts,4/28/2011
48,23,2,9.7,6911,"In a ""spaghetti western"" parody, Pierce tries to get revenge on the rest of the study group during this year's paintball tournament.",A Fistful of Paintballs,5/5/2011
49,24,2,9.6,5593,"When the study group learns that there's a sinister plot behind the paintball tournament, they unite the remaining players to defeat the enemy.",For a Few Paintballs More,5/12/2011
50,1,3,8,3193,"Jeff's plan to keep Pierce out of the Study Group backfires when he gets kicked out instead, Abed copes with bad news about Cougar Town, and Dean Pelton's authority is challenged by another Greendale dean.",Biology 101,9/22/2011
51,2,3,8.1,3145,"When another over-achieving student steals Annie's idea for a Model U.N. club, the Study Group comes to her rescue. Meanwhile, new security cop Chang tries to stop Britta's last-ditch efforts to create a campus disturbance.",Geography of Global Conflict,9/29/2011
52,3,3,8,3129,"Chaos ensues when the Study Group tries to divide itself up into biology lab partners, and Chang appoints himself security ""detective,"" and tries to solve a mystery that is only in his head.",Competitive Ecology,10/6/2011
53,4,3,9.8,10584,"At Abed and Troy's housewarming party, Jeff decides to let the decision on who gets the pizza rest on the roll of the dice, leaving Abed to contemplate six alternate realities.",Remedial Chaos Theory,10/13/2011
54,5,3,8.8,3687,"During her pre-Halloween party, Britta gets everyone to tell a spooky story so that she can find out which member of the study group scored out as a psychopath on their psychology profiles.",Horror Fiction in Seven Spooky Steps,10/27/2011
55,6,3,7.6,3041,"Pierce gets a visit from his bigoted father after his wipes become a hit in the gay community, and the dean of the School of Refrigeration recruits Troy to become his student.",Advanced Gay,11/3/2011
56,7,3,8.6,3345,"The study group helps Annie move in with Troy and Abed - except for Jeff, who lies to get out of it but is busted by dean Pelton.",Studies in Modern Movement,11/10/2011
57,8,3,9.1,4084,"The dean is given the task of making a Greendale commercial, but the shoot soon goes over budget and spirals out of control - with Abed documenting the experience.",Documentary Filmmaking: Redux,11/17/2011
58,9,3,8.4,3243,"Shirley teaches Jeff foosball so that he can beat a team of cocky, obnoxious Germans, while Annie creates an overly elaborate ruse so that she doesn't have to tell Abed that she broke his special edition The Dark Knight DVD.",Foosball and Nocturnal Vigilantism,12/1/2011
59,10,3,8.6,3806,"A holiday-themed parody of ""Glee"" in which Abed tries to persuade each member of the Study Group to join the glee club so that they can qualify for regionals.",Regional Holiday Music,12/8/2011
60,11,3,7.7,2978,"Pierce comes to Shirley with a business proposal just as she's about to get married to Andre. Meanwhile, Troy and Abed try to act ""normal"" for the wedding, Britta discovers a new skill, and Jeff struggles with his toast.",Urban Matrimony and the Sandwich Arts,3/15/2012
61,12,3,8,3014,"The members of the Study Group take jobs as celebrity impersonators to pay off Abed's debt to a celebrity impersonator business, but can Jeff be Ryan Seacrest without his fragile ego spiral out of control?",Contemporary Impressionists,3/22/2012
62,13,3,8.2,3045,"When Britta falls for the human embodiment of the Subway sandwich chain, Shirley and Pierce hope to use the situation to their advantage.",Digital Exploration of Interior Design,3/29/2012
63,14,3,9.3,5040,The students of Greendale are drawn into an epic pillow fight as Troy and Abed start a war that threatens to destroy their unique friendship.,Pillows and Blankets,4/5/2012
64,15,3,8.1,3000,"While Britta struggles to stay away from her old carny boyfriend, Jeff becomes obsessed with their relationship. Meanwhile, the dean stops by Troy and Abed's to recruit Troy for the dean of the school of refrigeration.",Origins of Vampire Mythology,4/12/2012
65,16,3,8.6,3420,"After sending Troy and Britta on a date, Annie volunteers to keep Abed company in his Dreamatorium.",Virtual Systems Analysis,4/19/2012
66,17,3,9.5,5033,"When the yam the study group was growing for biology class is killed, Troy and Abed are on the case.",Basic Lupine Urology,4/26/2012
67,18,3,8.2,2927,"A fellow student has died and Biology class has been canceled, meaning everyone has to retake it in summer school. When the memorial service turns into a riot, Chang is granted special authoritative powers.",Course Listing Unavailable,5/3/2012
68,19,3,9.2,3915,"When Abed claims the Dean has been replaced by a doppelgänger he is forced to take psychiatric treatment. Naturally, the rest of the study group joins him at his session with Dr. Heidi.",Curriculum Unavailable,5/10/2012
69,20,3,9.5,5245,"The study group must help Pierce win a video game so that he can claim his inheritance from his father, but somebody may be out to ensure that he loses.",Digital Estate Planning,5/17/2012
70,21,3,9.1,3609,"The Study Group, now known as the ""Greendale Seven,"" launches a plot to rescue the real dean Pelton and end Chang's reign of terror over Greendale.",The First Chang Dynasty,5/17/2012
71,22,3,8.8,3260,"Jeff faces an old nemesis as Shirley and Pierce square off in Greendale court, Abed succumbs to his evil alter ego, and Troy decides to meet his destiny at air conditioning school.",Introduction to Finality,5/17/2012
72,1,4,7.2,3349,"While the Dean creates a Hunger Games-style competition for admission into a History of Ice Cream class, the final class Jeff needs to graduate and a fear of graduation causes Abed to retreat to his happy place.",History 101,2/7/2013
73,2,4,7.5,2982,"The study group's Halloween plans are put on hold when Pierce locks himself in the panic room of his ""haunted"" mansion.",Paranormal Parentage,2/14/2013
74,3,4,7.2,2922,"At the Inspector SpaceTime Convention, Abed finds a new ""soulmate,"" Jeff discovers he looks like one of the show's villains, Shirley and Pierce join a focus group, and Annie pretends to be Jeff's wife.",Conventions of Space and Time,2/21/2013
75,4,4,7,2764,"The Study Group loses access to the study room to the German foosballers, and Chang returns to campus, claiming to be suffering from ""Changnesia.""",Alternative History of the German Invasion,2/28/2013
76,5,4,7.4,2804,"While Jeff and Britta spend Thanksgiving with Jeff's newly-discovered father and brother, the rest of the Study Group tries to escape from Shirley's dysfunctional family Thanksgiving celebration.",Cooperative Escapism in Familial Relations,3/7/2013
77,6,4,7.5,2702,"Abed makes a new documentary chronicling Greendale's effort to get a research grant for ""Changnesia,"" as well as Jeff's efforts to prove that Chang is faking his disease.",Advanced Documentary Filmmaking,3/14/2013
78,7,4,6.7,2742,"Dean Pelton and Annie try to land a ""whale"" student while Jeff is assigned to keep Pierce occupied. Meanwhile, Troy and Shirley take a physical education education course, and Abed creates a fraternity to annoy the dean.",Economics of Marine Biology,3/21/2013
79,8,4,7.8,2935,"While the dean sets up a Sadie Hawkins dance, Britta puts together a competing Sophie B. Hawkins dance. Meanwhile, Abed is set up with two dates to both dances by Annie and Shirley.",Herstory of Dance,4/4/2013
80,9,4,6.8,3175,Dean Pelton prompts the study group to use puppets to relive the traumatic events of a recent adventure.,Intro to Felt Surrogacy,4/11/2013
81,10,4,7.6,2705,"Jeff organizes a lovely holiday gathering at his apartment but Annie secretly invites Professor Cornwallis, to get in his good graces.",Intro to Knots,4/18/2013
82,11,4,8,2828,"When Annie and Shirley learn that Leonard is actually holding the spot as the class valedictorian, they join forces to bring him down.",Basic Human Anatomy,4/25/2013
83,12,4,8.2,3018,Abed's research into the study group's history uncovers an overlooked series of chance encounters that led each of them to Greendale.,Heroic Origins,5/2/2013
84,13,4,7.7,2899,A plan to celebrate Jeff's early graduation is unexpectedly disrupted by the study group's evil doppelgangers from the Darkest Timeline.,Advanced Introduction to Finality,5/9/2013
85,1,5,7.8,3119,"Having failed in his second go-round as a lawyer, and unable to gather evidence for a potential lawsuit against Greendale, Jeff tries to convince the other former members of the Study Group to sue the school.",Repilot,1/2/2014
86,2,5,8.5,3179,"Jeff blows off his new teaching job at Greendale until Annie signs up for his class and forces him to teach, and Abed loses his religion when he takes a course about whether Nicolas Cage is good or bad.",Introduction to Teaching,1/2/2014
87,3,5,9,4009,The college is imbued with panic when an unidentified person returns to dropping coins down people's butts and Annie takes it upon herself to find out who is behind it all.,Basic Intergluteal Numismatics,1/9/2014
88,4,5,9.3,4041,"After Pierce's unexpected passing, a team of investigators headed by the no-nonsense Mr. Stone arrives at Greendale to subject the study group to lie detector tests before they can be considered for distributions under the will.",Cooperative Polygraphy,1/16/2014
89,5,5,9.4,4563,"As a going-away present to Troy before his around-the-world trip, Abed sets up a high-stakes game of ""Hot Lava"" at the college, but Britta suspects that the game is just masking his real feelings about Troy's departure.",Geothermal Escapism,1/23/2014
90,6,5,8.1,2846,"Annie and Hickey fight Greendale bureaucracy to install a bulletin board, Abed learns a lesson about sign language, and the others discover the challenges of planning a properly sensitive school dance.",Analysis of Cork-Based Networking,1/30/2014
91,7,5,7.8,2557,"Jeff helps Duncan score a date with Britta, and Abed has a Hickey encounter on his way to the movie theater.",Bondage and Beta Male Sexuality,2/27/2014
92,8,5,9,3667,"When a new app is beta tested on Greendale students, the campus soon descends into a dystopian society where status is determined by app standing.",App Development and Condiments,3/6/2014
93,9,5,8,2644,"Whilst cleaning the storage room Jeff, Hickey and Shirley find a pile of unused hidden textbooks and plot a way to make the best out of it. Meanwhile, Annie and Abed are trying to find a new roommate.",VCR Maintenance and Educational Publishing,3/13/2014
94,10,5,8.4,2848,"The group proposes a ""sequel"" to Dungeons & Dragons night when they need to get a skeptical professor Hickey to bond with his estranged son.",Advanced Advanced Dungeons & Dragons,3/20/2014
95,11,5,7.9,2907,"The entire group becomes part of the cast of a classic ""G.I. Joe"" cartoon from the 1980s, which turns out to be part of Jeff's coping mechanism as he deals with a monumental life event.",G.I. Jeff,4/3/2014
96,12,5,7.7,2387,"After a liability audit, the Save Greendale Committee discovered that they have, in fact, saved Greendale - until they discover that as a result of the successful audit, the school is being sold to Subway.",Basic Story,4/10/2014
97,13,5,8.1,2508,"When the group learns about Greendale's first dean, they embark on a mission to find his old computer lab; Subway enlists Chang to spy on the group as part of its plan to take over the school.",Basic Sandwich,4/17/2014
98,1,6,7.7,2770,Dean Pelton hires an administrative consultant to organize things at Greendale.,Ladders,3/17/2015
99,2,6,7.5,2591,Jeff and Frankie ask an inventor for help extracting Dean Pelton from his virtual reality world.,Lawnmower Maintenance & Postnatal Care,3/17/2015
100,3,6,7.6,2441,The Greendale gang goes on the offensive when a rival college releases an attack ad.,Basic Crisis Room Decorum,3/24/2015
101,4,6,8,2556,"Dean Pelton is asked to lie; Chang auditions for a stage adaptation of ""The Karate Kid.""",Queer Studies & Advanced Waxing,3/31/2015
102,5,6,7.6,2352,A prisoner attends Greendale via telerobot; Britta tries to get around one of Annie's rules.,Laws of Robotics & Party Rights,4/7/2015
103,6,6,7.5,2380,A hacker threatens to publish emails unless a scheduled appearance by a racist comic is canceled.,Basic Email Security,4/14/2015
104,7,6,7.3,2358,An ex-boyfriend persuades Britta to join a guerilla marketing campaign.,Advanced Safety Features,4/21/2015
105,8,6,7.8,2406,"The committee, along with a movie producer named Maury, help Abed complete his unfinished film.",Intro to Recycled Cinema,4/28/2015
106,9,6,7.6,2346,"When a clever clever con man, Professor DeSalvo, uses his class to cheat the study group, they enlist Jeff to get revenge. The situation goes awry as Britta and Dean Pelton get involved in Jeff and Professor DeSalvo's scamming competition.",Grifting 101,5/5/2015
107,10,6,7.5,2343,"While on a road trip to get rid of a Greendale artifact, Abed turns a situation into a feature film.",Basic RV Repair and Palmistry,5/12/2015
108,11,6,9,3068,"When a secret game of paintball occurs on campus, Frankie threatens to expel those who participate.",Modern Espionage,5/19/2015
109,12,6,8.6,2762,A marriage proposal in Jeff's law class exposes a connection between the future bride and groom.,Wedding Videography,5/26/2015
110,13,6,9.5,5307,"As their sixth year at Greendale draws to a close, Abed asks everyone to imagine pitching a TV show about what they would do in season seven.",Emotional Consequences of Broadcast Television,6/2/2015
